elapsed time,timestamp,topic,value
2.022688106,1772638145.234662423,/qpos.qpos[0],0
2.222209977,1772638145.434184294,/qpos.qpos[0],-0.0661948396599208
2.261116621,1772638145.473090938,/qpos.qpos[0],-0.06620553409561815
2.313314686,1772638145.525289003,/qpos.qpos[0],-0.0662075985424494
2.3549717230000002,1772638145.566946040,/qpos.qpos[0],-0.06621033228078199
2.387208373,1772638145.599182690,/qpos.qpos[0],-0.06621248560569351
2.419757063,1772638145.631731380,/qpos.qpos[0],-0.06621421351402212
2.4523863930000003,1772638145.664360710,/qpos.qpos[0],-0.06621587405018295
2.483448627,1772638145.695422944,/qpos.qpos[0],-0.06621758170549745
2.535810143,1772638145.747784460,/qpos.qpos[0],-0.06621918512841476
2.586236863,1772638145.798211180,/qpos.qpos[0],-0.0662218575705568
2.627175485,1772638145.839149802,/qpos.qpos[0],-0.06622446622494206
2.658464649,1772638145.870438966,/qpos.qpos[0],-0.06622650064668918
2.683514656,1772638145.895488973,/qpos.qpos[0],-0.06622812719877233
2.7071624290000003,1772638145.919136746,/qpos.qpos[0],-0.06622940621117022
2.731036345,1772638145.943010662,/qpos.qpos[0],-0.06623057588012773
2.7533502800000003,1772638145.965324597,/qpos.qpos[0],-0.06623179004631119
2.782526033,1772638145.994500350,/qpos.qpos[0],-0.06623295675045955
2.816005953,1772638146.027980270,/qpos.qpos[0],-0.06623443423820818
2.844715915,1772638146.056690232,/qpos.qpos[0],-0.06623610283483591
2.868475151,1772638146.080449468,/qpos.qpos[0],-0.06623757394613922
2.891573778,1772638146.103548095,/qpos.qpos[0],-0.06623879030634457
2.915197655,1772638146.127171972,/qpos.qpos[0],-0.06623996221752973
2.938934311,1772638146.150908628,/qpos.qpos[0],-0.06624118052394251
2.96191342,1772638146.173887737,/qpos.qpos[0],-0.06622518711675865
2.985878342,1772638146.197852659,/qpos.qpos[0],-0.0662397677516193
3.014993745,1772638146.226968062,/qpos.qpos[0],-0.0663023915109722
3.056277849,1772638146.268252166,/qpos.qpos[0],-0.06642242103578443
3.100050807,1772638146.312025124,/qpos.qpos[0],-0.06665477269200198
3.13846777,1772638146.350442087,/qpos.qpos[0],-0.06693776783155744
3.169515104,1772638146.381489421,/qpos.qpos[0],-0.06721376330222686
3.197271866,1772638146.409246183,/qpos.qpos[0],-0.06743536713688986
3.222616954,1772638146.434591271,/qpos.qpos[0],-0.06763039664306145
3.245381028,1772638146.457355345,/qpos.qpos[0],-0.06779584384903944
3.269431813,1772638146.481406130,/qpos.qpos[0],-0.06793756538407787
3.293248317,1772638146.505222634,/qpos.qpos[0],-0.06807164813507341
3.317132238,1772638146.529106555,/qpos.qpos[0],-0.06818888728674609
3.341913123,1772638146.553887440,/qpos.qpos[0],-0.06828690058932411
3.366448691,1772638146.578423008,/qpos.qpos[0],-0.06836371442587245
3.390090143,1772638146.602064460,/qpos.qpos[0],-0.06841941873819254
3.415085787,1772638146.627060104,/qpos.qpos[0],-0.06844817901614061
3.440914611,1772638146.652888928,/qpos.qpos[0],-0.0684573519151666
3.468191138,1772638146.680165455,/qpos.qpos[0],-0.06846414312600842
3.494455184,1772638146.706429501,/qpos.qpos[0],-0.06847126010424777
3.5184151740000003,1772638146.730389491,/qpos.qpos[0],-0.06847816683966475
3.542100654,1772638146.754074971,/qpos.qpos[0],-0.06848487750280273
3.570732873,1772638146.782707190,/qpos.qpos[0],-0.06849193950169422
3.603950078,1772638146.815924395,/qpos.qpos[0],-0.06850050970542304
3.651023698,1772638146.862998015,/qpos.qpos[0],-0.06851065467043507
3.695325702,1772638146.907300019,/qpos.qpos[0],-0.06852439794775236
3.745981605,1772638146.957955922,/qpos.qpos[0],-0.0685361969262489
3.79957653,1772638147.011550847,/qpos.qpos[0],-0.06854815902000198
3.853518771,1772638147.065493088,/qpos.qpos[0],-0.0685578496795804
3.903148861,1772638147.115123178,/qpos.qpos[0],-0.0685645667652577
3.9520486530000003,1772638147.164022970,/qpos.qpos[0],-0.06856886744997098
3.999005938,1772638147.210980255,/qpos.qpos[0],-0.06857194978928172
4.036188028,1772638147.248162345,/qpos.qpos[0],-0.06857409283737394
4.076985709,1772638147.288960026,/qpos.qpos[0],-0.06857540334010238
4.103137428,1772638147.315111745,/qpos.qpos[0],-0.06857648392516207
4.130304107,1772638147.342278424,/qpos.qpos[0],-0.0685770856603109
4.154114109,1772638147.366088426,/qpos.qpos[0],-0.06857759976025696
4.178334205,1772638147.390308522,/qpos.qpos[0],-0.0685779863250498
4.202250584,1772638147.414224901,/qpos.qpos[0],-0.06857832288175886
