left_ankle_dpf,left_ankle_ie,left_hip_aa,left_hip_fe,left_knee,right_ankle_dpf,right_ankle_ie,right_hip_aa,right_hip_fe,right_knee
0.1834168026738673,-0.0538736103022484,0.0538850788003355,0.163444867517726,0.3114220463634088,0.1833954904567925,-0.0538794144550795,0.0538904247681917,0.1634221502873682,0.3113776463689615
0.1836584779217986,-0.05385818023120128,0.053872514478758134,0.16436106332846503,0.31075208518317515,0.18363463362778734,-0.05385775614967858,0.05387161258813871,0.16433568741773089,0.31070247005981166
0.18390015316972988,-0.05384275016015416,0.05385995015718076,0.16527725913920405,0.3100821240029415,0.18387377679878222,-0.05383609784427766,0.053852800408085724,0.16524922454809357,0.31002729375066185
0.18414182841766116,-0.05382732008910704,0.05384738583560339,0.1661934549499431,0.30941216282270784,0.18411291996977708,-0.05381443953887675,0.05383398822803274,0.16616276167845626,0.30935211744151203
0.18438350366559245,-0.053811890018059916,0.053834821514026014,0.16710965076068213,0.3087422016424742,0.18435206314077196,-0.05379278123347583,0.053815176047979744,0.16707629880881894,0.3086769411323622
0.18462517891352373,-0.0537964599470128,0.053822257192448646,0.16802584657142117,0.3080722404622405,0.18459120631176681,-0.053771122928074906,0.05379636386792676,0.16798983593918163,0.3080017648232124
0.18482063582752634,-0.05378521107051391,0.05381344191190289,0.16873535953215316,0.3075493030138412,0.18478482557233167,-0.05375323946956229,0.05378090895842988,0.16869743723730068,0.30747506615280484
0.1849509791946253,-0.053779852765660226,0.05380990837429993,0.16915369251506768,0.3072334962827352,0.1849143096072175,-0.05374067410992999,0.05377018385581356,0.16911491097494497,0.30715754650017196
0.18508132256172427,-0.053774494460806545,0.05380637483669697,0.1695720254979822,0.3069176895516292,0.18504379364210333,-0.05372810875029769,0.05375945875319723,0.16953238471258922,0.3068400268475391
0.18521166592882324,-0.05376913615595287,0.05380284129909401,0.16999035848089672,0.30660188282052314,0.18517327767698916,-0.053715543390665386,0.05374873365058091,0.1699498584502335,0.30652250719490626
0.1853420092959222,-0.05376377785109919,0.053799307761491055,0.17040869146381124,0.3062860760894171,0.18530276171187499,-0.05370297803103308,0.05373800854796458,0.17036733218787778,0.3062049875422734
0.18547235266302117,-0.05375841954624551,0.05379577422388809,0.17082702444672573,0.30597026935831106,0.18543224574676082,-0.053690412671400775,0.05372728344534826,0.17078480592552203,0.30588746788964055
0.18560269603012014,-0.053753061241391835,0.05379224068628514,0.17124535742964025,0.3056544626272051,0.18556172978164667,-0.05367784731176847,0.05371655834273193,0.1712022796631663,0.30556994823700767
0.1857330393972191,-0.053747702936538154,0.053788707148682176,0.17166369041255478,0.30533865589609904,0.1856912138165325,-0.05366528195213617,0.0537058332401156,0.1716197534008106,0.3052524285843748
0.18586338276431807,-0.05374234463168448,0.05378517361107922,0.1720820233954693,0.305022849164993,0.18582069785141833,-0.05365271659250387,0.05369510813749928,0.17203722713845485,0.30493490893174197
0.18599372613141707,-0.0537369863268308,0.05378164007347626,0.17250035637838382,0.30470704243388697,0.18595018188630416,-0.053640151232871566,0.05368438303488295,0.17245470087609913,0.3046173892791091
0.18611622522215446,-0.05364117540239753,0.05368795228363962,0.17284088735836456,0.3044551766554081,0.1860646640688873,-0.05372089010802833,0.05376648372891311,0.17278556150273458,0.30434735551206704
0.1862357495865227,-0.05351106280624544,0.053560075969705516,0.17315191406554362,0.30422755872709206,0.18617345721100648,-0.05383701205165329,0.05388378605688605,0.17308357648582562,0.3040953294629483
0.1863552739508909,-0.05338095021009334,0.05343219965577141,0.1734629407727227,0.30399994079877607,0.18628225035312565,-0.05395313399527824,0.05400108838485898,0.17338159146891666,0.30384330341382954
0.18647479831525912,-0.05325083761394125,0.0533043233418373,0.17377396747990176,0.3037723228704601,0.18639104349524482,-0.054069255938903195,0.05411839071283192,0.1736796064520077,0.3035912773647108
0.18659432267962736,-0.053120725017789146,0.05317644702790319,0.17408499418708084,0.3035447049421441,0.186499836637364,-0.054185377882528155,0.05423569304080486,0.17397762143509873,0.3033392513155921
0.18671384704399557,-0.05299061242163705,0.05304857071396908,0.1743960208942599,0.30331708701382804,0.18660862977948317,-0.05430149982615311,0.0543529953687778,0.17427563641818977,0.3030872252664733
0.18683337140836379,-0.052860499825484956,0.052920694400034975,0.174707047601439,0.30308946908551204,0.18671742292160234,-0.05441762176977807,0.054470297696750734,0.1745736514012808,0.3028351992173546
0.186952895772732,-0.05273038722933286,0.05279281808610087,0.17501807430861804,0.30286185115719605,0.18682621606372152,-0.05453374371340302,0.054587600024723675,0.17487166638437185,0.3025831731682358
0.18707242013710024,-0.05260027463318077,0.052664941772166754,0.17532910101579713,0.30263423322888006,0.1869350092058407,-0.05464986565702797,0.054704902352696615,0.1751696813674629,0.30233114711911707
0.18719194450146845,-0.052470162037028666,0.05253706545823265,0.17564012772297619,0.30240661530056406,0.18704380234795986,-0.05476598760065293,0.05482220468066955,0.17546769635055393,0.30207912106999835
0.18730819992282804,-0.052345937444046656,0.052414989472635294,0.17592784747221502,0.302194016258003,0.18714981060895755,-0.05487703748383107,0.05493442639374309,0.1757429025501073,0.3018431482865645
